Mod:Item:MetaData, Localized Name
Metallurgy:celenegil.molten, Molten Celenegil
Metallurgy:adamantine.molten, Molten Adamantine
Metallurgy:atlarus.molten, Molten Atlarus
Metallurgy:tartarite.molten, Molten Tartarite
Metallurgy:nether.ore:0, Ignatius Ore
Metallurgy:nether.ore:1, Shadow Iron Ore
Metallurgy:nether.ore:2, Lemurite Ore
Metallurgy:nether.ore:3, Midasium Ore
Metallurgy:nether.ore:4, Vyroxeres Ore
Metallurgy:nether.ore:5, Ceruclase Ore
Metallurgy:nether.ore:6, Alduorite Ore
Metallurgy:nether.ore:7, Kalendrite Ore
Metallurgy:nether.ore:8, Vulcanite Ore
Metallurgy:nether.ore:9, Sanguinite Ore
Metallurgy:nether.block:0, Ignatius Block
Metallurgy:nether.block:1, Shadow Iron Block
Metallurgy:nether.block:2, Lemurite Block
Metallurgy:nether.block:3, Midasium Block
Metallurgy:nether.block:4, Vyroxeres Block
Metallurgy:nether.block:5, Ceruclase Block
Metallurgy:nether.block:6, Alduorite Block
Metallurgy:nether.block:7, Kalendrite Block
Metallurgy:nether.block:8, Vulcanite Block
Metallurgy:nether.block:9, Sanguinite Block
Metallurgy:nether.block:10, Shadow Steel Block
Metallurgy:nether.block:11, Inolashite Block
Metallurgy:nether.block:12, Amordrine Block
Metallurgy:nether.brick:0, Ignatius Brick
Metallurgy:nether.brick:1, Shadow Iron Brick
Metallurgy:nether.brick:2, Lemurite Brick
Metallurgy:nether.brick:3, Midasium Brick
Metallurgy:nether.brick:4, Vyroxeres Brick
Metallurgy:nether.brick:5, Ceruclase Brick
Metallurgy:nether.brick:6, Alduorite Brick
Metallurgy:nether.brick:7, Kalendrite Brick
Metallurgy:nether.brick:8, Vulcanite Brick
Metallurgy:nether.brick:9, Sanguinite Brick
Metallurgy:nether.brick:10, Shadow Steel Brick
Metallurgy:nether.brick:11, Inolashite Brick
Metallurgy:nether.brick:12, Amordrine Brick
Metallurgy:ignatius.molten, Molten Ignatius
Metallurgy:shadow.iron.molten, Molten Shadow Iron
Metallurgy:lemurite.molten, Molten Lemurite
Metallurgy:midasium.molten, Molten Midasium
Metallurgy:vyroxeres.molten, Molten Vyroxeres
Metallurgy:ceruclase.molten, Molten Ceruclase
Metallurgy:alduorite.molten, Molten Alduorite
Metallurgy:kalendrite.molten, Molten Kalendrite
Metallurgy:vulcanite.molten, Molten Vulcanite
Metallurgy:sanguinite.molten, Molten Sanguinite
Metallurgy:shadow.steel.molten, Molten Shadow Steel
Metallurgy:inolashite.molten, Molten Inolashite
Metallurgy:amordrine.molten, Molten Amordrine
Metallurgy:precious.ore:0, Zinc Ore
Metallurgy:precious.ore:1, Silver Ore
Metallurgy:precious.ore:2, Platinum Ore
Metallurgy:precious.block:0, Zinc Block
Metallurgy:precious.block:1, Silver Block
Metallurgy:precious.block:2, Platinum Block
Metallurgy:precious.block:3, Brass Block
Metallurgy:precious.block:4, Electrum Block
Metallurgy:precious.brick:0, Zinc Brick
Metallurgy:precious.brick:1, Silver Brick
Metallurgy:precious.brick:2, Platinum Brick
Metallurgy:precious.brick:3, Brass Brick
Metallurgy:precious.brick:4, Electrum Brick
Metallurgy:zinc.molten, Molten Zinc
Metallurgy:silver.molten, Molten Silver
Metallurgy:platinum.molten, Molten Platinum
Metallurgy:brass.molten, Molten Brass
Metallurgy:electrum.molten, Molten Electrum
Metallurgy:utility.ore:0, Sulfur Ore
Metallurgy:utility.ore:1, Phosphorite Ore
Metallurgy:utility.ore:2, Saltpeter Ore
Metallurgy:utility.ore:3, Magnesium Ore
Metallurgy:utility.ore:4, Bitumen Ore
Metallurgy:utility.ore:5, Potash Ore
Metallurgy:utility.block:0, Sulfur Block
Metallurgy:utility.block:1, Phosphorite Block
Metallurgy:utility.block:2, Saltpeter Block
Metallurgy:utility.block:3, Magnesium Block
Metallurgy:utility.block:4, Bitumen Block
Metallurgy:utility.block:5, Potash Block
Metallurgy:vanilla.brick:0, Gold Brick
Metallurgy:vanilla.brick:1, Iron Brick
Metallurgy:extra.storage.block:0, Block of Charcoal
Metallurgy:explosive:0, High Explosives
Metallurgy:explosive:1, Light Explosives
Metallurgy:explosive:2, Miners Explosives
Metallurgy:explosive:3, Death Explosives
Metallurgy:explosive:4, Precision Explosives
Metallurgy:tab.block:0, tile.metallurgy.tab2.block.name
harvestcraft:cuttingboard, Cutting Board
harvestcraft:pot, Pot
harvestcraft:beehive, Beehive
harvestcraft:apiary, Apiary
harvestcraft:presser, Presser
harvestcraft:sink, tile.sink.name
harvestcraft:salt, Salt Ore
harvestcraft:spamcompressedsaltBlockalt, Compressed Salt Block
harvestcraft:market, Market
harvestcraft:oven, Oven
harvestcraft:ovenon, tile.ovenon.name
harvestcraft:churn, Churn
harvestcraft:churnon, tile.churnon.name
harvestcraft:quern, Quern
harvestcraft:quernon, tile.quernon.name
harvestcraft:fishtrap, Fish Trap
harvestcraft:animaltrap, Animal Trap
harvestcraft:berrygarden, Berry Garden
harvestcraft:desertgarden, Desert Garden
harvestcraft:grassgarden, Grass Garden
harvestcraft:gourdgarden, Gourd Garden
harvestcraft:groundgarden, Ground Garden
harvestcraft:herbgarden, Herb Garden
harvestcraft:leafygarden, Leafy Garden
harvestcraft:mushroomgarden, Mushroom Garden
harvestcraft:stalkgarden, Stalk Garden
harvestcraft:textilegarden, Textile Garden
harvestcraft:tropicalgarden, Tropical Garden
harvestcraft:watergarden, Water Garden
harvestcraft:pamApple, Apple
harvestcraft:pamappleSapling, Apple Sapling
harvestcraft:pamAlmond, Almond
harvestcraft:pamalmondSapling, Almond Sapling
harvestcraft:pamApricot, Apricot
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon Wood
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple Wood
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark Wood
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
harvestcraft:pambroccoliCrop, Broccoli Crop
harvestcraft:pamcauliflowerCrop, Cauliflower Crop
harvestcraft:pamleekCrop, Leek Crop
harvestcraft:pamlettuceCrop, Lettuce Crop
harvestcraft:pamscallionCrop, Scallion Crop
harvestcraft:pamartichokeCrop, Artichoke Crop
harvestcraft:pambrusselsproutCrop, Brussel Sprout Crop
harvestcraft:pamcabbageCrop, Cabbage Crop
harvestcraft:pamspinachCrop, Spinach Crop
harvestcraft:pamwhitemushroomCrop, White Mushroom Crop
harvestcraft:pambeanCrop, Bean Crop
harvestcraft:pamsoybeanCrop, Soybean Crop
harvestcraft:pambellpepperCrop, Bell Pepper Crop
harvestcraft:pamchilipepperCrop, Chili Pepper Crop
harvestcraft:pameggplantCrop, Eggplant Crop
harvestcraft:pamokraCrop, Okra Crop
harvestcraft:pampeasCrop, Peas Crop
harvestcraft:pamtomatoCrop, Tomato Crop
harvestcraft:pamcottonCrop, Cotton Crop
harvestcraft:pampineappleCrop, Pineapple Crop
harvestcraft:pamgrapeCrop, Grape Crop
harvestcraft:pamkiwiCrop, Kiwi Crop
harvestcraft:pamcranberryCrop, Cranberry Crop
harvestcraft:pamriceCrop, Rice Crop
harvestcraft:pamseaweedCrop, Seaweed Crop
harvestcraft:pamcurryleafCrop, Curry Leaf Crop
harvestcraft:pamsesameseedsCrop, Sesame Seeds Crop
harvestcraft:pamwaterchestnutCrop, Water Chestnut Crop
harvestcraft:pamcandleDeco1, White Candle
harvestcraft:pamcandleDeco2, Orange Candle
harvestcraft:pamcandleDeco3, Magenta Candle
harvestcraft:pamcandleDeco4, Light Blue Candle
harvestcraft:pamcandleDeco5, Yellow Candle
harvestcraft:pamcandleDeco6, Lime Candle
harvestcraft:pamcandleDeco7, Pink Candle
harvestcraft:pamcandleDeco8, Dark Grey Candle
harvestcraft:pamcandleDeco9, Light Grey Candle
harvestcraft:pamcandleDeco10, Cyan Candle
harvestcraft:pamcandleDeco11, Purple Candle
harvestcraft:pamcandleDeco12, Blue Candle
harvestcraft:pamcandleDeco13, Brown Candle
harvestcraft:pamcandleDeco14, Green Candle
harvestcraft:pamcandleDeco15, Red Candle
harvestcraft:pamcandleDeco16, Black Candle
harvestcraft:pamcarrotCake, Carrot Cake
harvestcraft:pamcheeseCake, Cheese Cake
harvestcraft:pamcherrycheeseCake, Cherry Cheese Cake
harvestcraft:pampineappleupsidedownCake, Pineapple Upside Down Cake
harvestcraft:pamchocolatesprinkleCake, Chocolate Sprinkles Cake
harvestcraft:pamredvelvetCake, Red Velvet Cake
harvestcraft:pamlamingtonCake, Lamington
harvestcraft:pampavlovaCake, Pavlova
harvestcraft:pamholidayCake, Holiday Cake
harvestcraft:pampumpkincheeseCake, Pumpkin Cheese Cake
ExtraTiC:moltenPokefennium, Molten Pokefennium
ExtraTiC:moltenFairy, Molten Fairy
ExtraTiC:moltenRedAurum, Molten RedAurum
ExtraTiC:moltenDarkSteel, Molten Dark Steel
ExtraTiC:moltenZinc, Molten Zinc
ExtraTiC:moltenBrass, Molten Brass
ExtraTiC:moltenAdamantine., Molten Adamantine
ExtraTiC:moltenManasteel, Molten Manasteel
ExtraTiC:moltenTerrasteel, Molten Terrasteel
ExtraTiC:moltenElementium, Molten Elementium
ExtraTiC:moltenVoidmetal, Molten Voidmetal
ExtraTiC:moltenBedrockium, Molten Bedrockium
ExtraTiC:blockFunStuff:0, Fairy Block
ExtraTiC:blockFunStuff:1, Pokefennium Block
ExtraTiC:blockFunStuff:2, RedAurum Block
ThaumicTinkerer:Levitational Locomotive, Levitational Locomotive
ThaumicTinkerer:darkQuartz:0, Block of Smokey Quartz
ThaumicTinkerer:darkQuartz:1, Chiseled Smokey Quartz Block
ThaumicTinkerer:darkQuartz:2, Pillar Smokey Quartz Block
ThaumicTinkerer:funnel, Essentia Funnel
ThaumicTinkerer:infusedFarmland, tile.infusedFarmland.name
ThaumicTinkerer:platform, Ethereal Platform
ThaumicTinkerer:spawner, Tablet of Necromancy
ThaumicTinkerer:bedrockPortal, Bedrock Portal
ThaumicTinkerer:infusedGrainBlock, tile.infusedGrainBlock.name
ThaumicTinkerer:darkQuartzSlab:0, Smokey Quartz Slab
ThaumicTinkerer:darkQuartzSlabFull:0, Smokey Quartz Slab
ThaumicTinkerer:nitorGas, tile.nitorGas.name
ThaumicTinkerer:fireAir, Aer Imbued Fire
ThaumicTinkerer:fireFire, Ignis Imbued Fire
ThaumicTinkerer:darkQuartzStairs, Smokey Quartz Stairs
ThaumicTinkerer:fireOrder, Ordo Imbued Fire
ThaumicTinkerer:interface, Transvector Interface
ThaumicTinkerer:warpGate, Celestial Gateway
ThaumicTinkerer:Levitational Locomotive Relay, Levitational Locomotive Relay
ThaumicTinkerer:travelStairs, Paving Stair of Travel
ThaumicTinkerer:gaseousLight, tile.gaseousLight.name
ThaumicTinkerer:fireEarth, Terra Imbued Fire
ThaumicTinkerer:dislocator, Transvector Dislocator
ThaumicTinkerer:magnet:0, Kinetic Attractor
ThaumicTinkerer:magnet:1, Corporeal Attractor
ThaumicTinkerer:wardSlab:0, tile.wardSlab.name
ThaumicTinkerer:wardSlabFull:0, tile.wardSlab.name
ThaumicTinkerer:gaseousShadow, tile.gaseousShadow.name
ThaumicTinkerer:travelSlab:0, Paving Slab of Travel
ThaumicTinkerer:travelSlabFull:0, Paving Slab of Travel
ThaumicTinkerer:repairer, Thaumic Restorer
ThaumicTinkerer:fireWater, Aqua Imbued Fire
ThaumicTinkerer:animationTablet, Dynamism Tablet
ThaumicTinkerer:forcefield, Forcefield
ThaumicTinkerer:enchanter, Osmotic Enchanter
ThaumicTinkerer:fireChaos, Perditio Imbued Fire
ForbiddenMagic:ArcaneCake, Thaumic Cake
ForbiddenMagic:WrathCage, Wrath Cage
ForbiddenMagic:InkFlower, Umbral Rose
ForbiddenMagic:StarBlock, Nether Star Block
ForbiddenMagic:UmbralBush, Umbral Rose Bush
ForbiddenMagic:TaintLog, Tainted Log
ForbiddenMagic:TaintPlank, Tainted Planks
ForbiddenMagic:TaintLeaves, Tainted Leaves
ForbiddenMagic:TaintSapling, Tainted Sapling
ForbiddenMagic:TaintBlock:0, Tainted Stone
ForbiddenMagic:TaintBlock:1, Tainted Stone Bricks
HardcoreQuesting:item_barrel, Quest Delivery System
HardcoreQuesting:quest_tracker, Quest Tracking System
HardcoreQuesting:quest_portal, tile.hqm:quest_portal.name
JABBA:barrel, Better Barrel
NetherOres:tile.netherores.ore.0:0, Nether Coal Ore
NetherOres:tile.netherores.ore.0:1, Nether Diamond Ore
NetherOres:tile.netherores.ore.0:2, Nether Gold Ore
NetherOres:tile.netherores.ore.0:3, Nether Iron Ore
NetherOres:tile.netherores.ore.0:4, Nether Lapis Ore
NetherOres:tile.netherores.ore.0:5, Nether Redstone Ore
NetherOres:tile.netherores.ore.0:6, Nether Copper Ore
NetherOres:tile.netherores.ore.0:7, Nether Tin Ore
NetherOres:tile.netherores.ore.0:8, Nether Emerald Ore
NetherOres:tile.netherores.ore.0:9, Nether Silver Ore
NetherOres:tile.netherores.ore.0:10, Nether Lead Ore
NetherOres:tile.netherores.ore.0:11, Nether Uranium Ore
NetherOres:tile.netherores.ore.0:12, Nether Nikolite Ore
NetherOres:tile.netherores.ore.0:13, Nether Ruby Ore
NetherOres:tile.netherores.ore.0:14, Nether Peridot Ore
NetherOres:tile.netherores.ore.0:15, Nether Sapphire Ore
NetherOres:tile.netherores.ore.1:0, Nether Platinum Ore
NetherOres:tile.netherores.ore.1:1, Nether Ferrous Ore
NetherOres:tile.netherores.ore.1:2, Nether Pig Iron Ore
NetherOres:tile.netherores.ore.1:3, Nether Iridium Ore
NetherOres:tile.netherores.ore.1:4, Nether Osmium Ore
NetherOres:tile.netherores.ore.1:5, Nether Sulfur Ore
NetherOres:tile.netherores.ore.1:6, Nether Titanium Ore
NetherOres:tile.netherores.ore.1:7, Nether Mithril Ore
NetherOres:tile.netherores.ore.1:8, Nether Adamantium Ore
NetherOres:tile.netherores.ore.1:9, Nether Rutile Ore
NetherOres:tile.netherores.ore.1:10, Nether Tungsten Ore
NetherOres:tile.netherores.ore.1:11, Nether Amber Ore
NetherOres:tile.netherores.ore.1:12, Nether Tennantite Ore
NetherOres:tile.netherores.ore.1:13, Nether Salt Ore
NetherOres:tile.netherores.ore.1:14, Nether Saltpeter Ore
NetherOres:tile.netherores.ore.1:15, Nether Magnesium Ore
NetherOres:netherOresBlockHellfish, tile.netherores.hellfish.name
RedstoneArsenal:Storage:0, Fluxed Electrum Block
RedstoneArsenal:Storage:1, Flux Crystal Block
RPGAdvMod:pole:0, Iron Pole
RPGAdvMod:pole:1, Stone Pole
RPGAdvMod:pole:2, Plank Pole
RPGAdvMod:pole:3, Wood Pole
RPGAdvMod:pole:4, Fancy Gold Pole
RPGAdvMod:pole:5, Fancy Iron Pole
RPGAdvMod:pole:6, Fancy Magic Pole
RPGAdvMod:wallsign, WaySign
StorageDrawers:fullDrawers1:0, Oak Drawer
StorageDrawers:fullDrawers1:1, Spruce Drawer
StorageDrawers:fullDrawers1:2, Birch Drawer
StorageDrawers:fullDrawers1:3, Jungle Drawer
StorageDrawers:fullDrawers1:4, Acacia Drawer
StorageDrawers:fullDrawers1:5, Dark Oak Drawer
StorageDrawers:fullDrawers2:0, Oak Drawers 1x2
StorageDrawers:fullDrawers2:1, Spruce Drawers 1x2
StorageDrawers:fullDrawers2:2, Birch Drawers 1x2
StorageDrawers:fullDrawers2:3, Jungle Drawers 1x2
StorageDrawers:fullDrawers2:4, Acacia Drawers 1x2
StorageDrawers:fullDrawers2:5, Dark Oak Drawers 1x2
StorageDrawers:fullDrawers4:0, Oak Drawers 2x2
StorageDrawers:fullDrawers4:1, Spruce Drawers 2x2
StorageDrawers:fullDrawers4:2, Birch Drawers 2x2
StorageDrawers:fullDrawers4:3, Jungle Drawers 2x2
StorageDrawers:fullDrawers4:4, Acacia Drawers 2x2
StorageDrawers:fullDrawers4:5, Dark Oak Drawers 2x2
StorageDrawers:halfDrawers2:0, Compact Oak Drawers 1x2
StorageDrawers:halfDrawers2:1, Compact Spruce Drawers 1x2
StorageDrawers:halfDrawers2:2, Compact Birch Drawers 1x2
StorageDrawers:halfDrawers2:3, Compact Jungle Drawers 1x2
StorageDrawers:halfDrawers2:4, Compact Acacia Drawers 1x2
StorageDrawers:halfDrawers2:5, Compact Dark Oak Drawers 1x2
StorageDrawers:halfDrawers4:0, Compact Oak Drawers 2x2
StorageDrawers:halfDrawers4:1, Compact Spruce Drawers 2x2
StorageDrawers:halfDrawers4:2, Compact Birch Drawers 2x2
StorageDrawers:halfDrawers4:3, Compact Jungle Drawers 2x2
StorageDrawers:halfDrawers4:4, Compact Acacia Drawers 2x2
StorageDrawers:halfDrawers4:5, Compact Dark Oak Drawers 2x2
StorageDrawers:compDrawers, Compacting Drawer
StorageDrawers:controller, Drawer Controller
StorageDrawers:controllerSlave, Controller Slave
StorageDrawers:trim:0, Oak Trim
StorageDrawers:trim:1, Spruce Trim
StorageDrawers:trim:2, Birch Trim
StorageDrawers:trim:3, Jungle Trim
StorageDrawers:trim:4, Acacia Trim
StorageDrawers:trim:5, Dark Oak Trim
StorageDrawers:framingTable, Framing Table
StorageDrawers:fullCustom1, Framed Drawer
StorageDrawers:fullCustom2, Framed Drawers 1x2
StorageDrawers:fullCustom4, Framed Drawers 2x2
StorageDrawers:halfCustom2, Framed Drawers 1x2
StorageDrawers:halfCustom4, Framed Drawers 2x2
StorageDrawers:trimCustom, Framed Trim
thaumicenergistics:thaumicenergistics.block.essentia.provider, Essentia Provider
thaumicenergistics:thaumicenergistics.block.infusion.provider, Infusion Provider
thaumicenergistics:thaumicenergistics.block.gear.box, Iron Gear Box
thaumicenergistics:thaumicenergistics.block.golem.gear.box, Thaumium Gear Box
thaumicenergistics:thaumicenergistics.block.essentia.cell.workbench, Essentia Cell Workbench
thaumicenergistics:thaumicenergistics.block.arcane.assembler, Arcane Assembler
thaumicenergistics:thaumicenergistics.block.knowledge.inscriber, Knowledge Inscriber
thaumicenergistics:thaumicenergistics.block.essentia.vibration.chamber, Essentia Vibration Chamber
thaumicenergistics:thaumicenergistics.block.distillation.encoder, Distillation Pattern Encoder
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
TMechworks:RedstoneMachine:0, Drawbridge
TMechworks:RedstoneMachine:1, Igniter
TMechworks:RedstoneMachine:2, Advanced Drawbridge
TMechworks:RedstoneMachine:3, Extended Drawbridge
TMechworks:Dynamo, Dynamo
TMechworks:SignalBus, tile.tmechworks.signalbus.name
TMechworks:SignalTerminal, tile.tmechworks.signalterminal.name
TMechworks:MeshFilter:0, Empty Mesh Filter
TMechworks:MeshFilter:1, Wide Mesh Filter
TMechworks:MeshFilter:2, Slat Mesh Filter
TMechworks:MeshFilter:3, Mesh Filter
TMechworks:MeshFilter:4, Fine Mesh Filter
UndergroundBiomes:igneousStone:0, Red Granite
UndergroundBiomes:igneousStone:1, Black Granite
UndergroundBiomes:igneousStone:2, Rhyolite
UndergroundBiomes:igneousStone:3, Andesite
UndergroundBiomes:igneousStone:4, Gabbro
UndergroundBiomes:igneousStone:5, Basalt
UndergroundBiomes:igneousStone:6, Komatiite
UndergroundBiomes:igneousStone:7, Dacite
UndergroundBiomes:igneousCobblestone:0, Red Granite Cobblestone
UndergroundBiomes:igneousCobblestone:1, Black Granite Cobblestone
UndergroundBiomes:igneousCobblestone:2, Rhyolite Cobblestone
UndergroundBiomes:igneousCobblestone:3, Andesite Cobblestone
UndergroundBiomes:igneousCobblestone:4, Gabbro Cobblestone
UndergroundBiomes:igneousCobblestone:5, Basalt Cobblestone
UndergroundBiomes:igneousCobblestone:6, Komatiite Cobblestone
UndergroundBiomes:igneousCobblestone:7, Dacite Cobblestone
UndergroundBiomes:igneousStoneBrick:0, Red Granite Bricks
UndergroundBiomes:igneousStoneBrick:1, Black Granite Bricks
UndergroundBiomes:igneousStoneBrick:2, Rhyolite Bricks
UndergroundBiomes:igneousStoneBrick:3, Andesite Bricks
UndergroundBiomes:igneousStoneBrick:4, Gabbro Bricks
UndergroundBiomes:igneousStoneBrick:5, Basalt Bricks
UndergroundBiomes:igneousStoneBrick:6, Komatiite Bricks
UndergroundBiomes:igneousStoneBrick:7, Dacite Bricks
UndergroundBiomes:metamorphicStone:0, Gneiss
UndergroundBiomes:metamorphicStone:1, Eclogite
UndergroundBiomes:metamorphicStone:2, Marble
UndergroundBiomes:metamorphicStone:3, Quartzite
UndergroundBiomes:metamorphicStone:4, Blue Schist
UndergroundBiomes:metamorphicStone:5, Green Schist
UndergroundBiomes:metamorphicStone:6, Soapstone
UndergroundBiomes:metamorphicStone:7, Migmatite
UndergroundBiomes:metamorphicCobblestone:0, Gneiss Cobblestone
UndergroundBiomes:metamorphicCobblestone:1, Eclogite Cobblestone
UndergroundBiomes:metamorphicCobblestone:2, Marble Cobblestone
UndergroundBiomes:metamorphicCobblestone:3, Quartzite Cobblestone
UndergroundBiomes:metamorphicCobblestone:4, Blue Schist Cobblestone
UndergroundBiomes:metamorphicCobblestone:5, Green Schist Cobblestone
UndergroundBiomes:metamorphicCobblestone:6, Soapstone Cobblestone
UndergroundBiomes:metamorphicCobblestone:7, Migmatite Cobblestone
UndergroundBiomes:metamorphicStoneBrick:0, Gneiss Bricks
UndergroundBiomes:metamorphicStoneBrick:1, Eclogite Bricks
UndergroundBiomes:metamorphicStoneBrick:2, Marble Bricks
